Anio,Mes,Procuraduria,Total,Fecha
2022,DICIEMBRE,CD. JUAREZ,1810,2022-12-01
2022,DICIEMBRE,CD. VICTORIA,180,2022-12-01
2022,DICIEMBRE,CHETUMAL,8,2022-12-01
2022,DICIEMBRE,CHIHUAHUA,1216,2022-12-01
2022,DICIEMBRE,COATZACOALCOS,1067,2022-12-01
2022,DICIEMBRE,COLIMA,332,2022-12-01
2022,DICIEMBRE,CUERNAVACA,649,2022-12-01
2022,DICIEMBRE,CULIACAN,1447,2022-12-01
2022,DICIEMBRE,CIUDAD DE MEXICO,10870,2022-12-01
2022,DICIEMBRE,DURANGO,599,2022-12-01
2022,DICIEMBRE,ENSENADA,399,2022-12-01
2022,DICIEMBRE,GUADALAJARA,1893,2022-12-01
2022,DICIEMBRE,GUANAJUATO,1624,2022-12-01
2022,DICIEMBRE,HERMOSILLO,1183,2022-12-01
2022,DICIEMBRE,JALAPA,871,2022-12-01
2022,DICIEMBRE,LA PAZ,773,2022-12-01
2022,DICIEMBRE,MERIDA,571,2022-12-01
2022,DICIEMBRE,MONTERREY,1060,2022-12-01
2022,DICIEMBRE,MORELIA,354,2022-12-01
2022,DICIEMBRE,OAXACA,399,2022-12-01
2022,DICIEMBRE,ORIZABA,554,2022-12-01
2022,DICIEMBRE,PACHUCA,1468,2022-12-01
2022,DICIEMBRE,PARRAL,191,2022-12-01
2022,DICIEMBRE,POZA RICA,656,2022-12-01
2022,DICIEMBRE,PUEBLA,1878,2022-12-01
2022,DICIEMBRE,QUERETARO,3000,2022-12-01
2022,DICIEMBRE,REYNOSA,401,2022-12-01
2022,DICIEMBRE,SALTILLO,801,2022-12-01
2022,DICIEMBRE,SAN LUIS POTOSI,282,2022-12-01
2022,DICIEMBRE,TAMPICO,787,2022-12-01
2022,DICIEMBRE,TEPIC,501,2022-12-01
2022,DICIEMBRE,TIJUANA,1013,2022-12-01
2022,DICIEMBRE,TLAXCALA,408,2022-12-01
2022,DICIEMBRE,TOLUCA,957,2022-12-01
2022,DICIEMBRE,TORREON,1413,2022-12-01
2022,DICIEMBRE,TUXTLA GTEZ.,625,2022-12-01
2022,DICIEMBRE,VERACRUZ,428,2022-12-01
2022,DICIEMBRE,VILLAHERMOSA,762,2022-12-01
2022,DICIEMBRE,ZACATECAS,198,2022-12-01
2023,JUNIO,ACAPULCO,321,2023-06-01
2023,JUNIO,AGUASCALIENTES,127,2023-06-01
2023,JUNIO,AZCAPOTZALCO (JFCA),91,2023-06-01
2023,JUNIO,CAMPECHE,137,2023-06-01
2023,JUNIO,CANANEA,105,2023-06-01
2023,JUNIO,CANCUN Q. ROO,243,2023-06-01
2023,JUNIO,CD. DEL CARMEN,140,2023-06-01
2023,JUNIO,CD. JUAREZ,1317,2023-06-01
2023,JUNIO,CD. VICTORIA,94,2023-06-01
2023,JUNIO,CHETUMAL,10,2023-06-01
2023,JUNIO,CHIHUAHUA,955,2023-06-01
2023,JUNIO,COATZACOALCOS,779,2023-06-01
2023,JUNIO,COLIMA,293,2023-06-01
2023,JUNIO,CUERNAVACA,567,2023-06-01
2023,JUNIO,CULIACAN,1061,2023-06-01
2023,JUNIO,CIUDAD DE MEXICO,7823,2023-06-01
2023,JUNIO,DURANGO,448,2023-06-01
2023,JUNIO,ENSENADA,309,2023-06-01
2023,JUNIO,GUADALAJARA,1477,2023-06-01
2023,JUNIO,GUANAJUATO,1306,2023-06-01
2023,JUNIO,HERMOSILLO,691,2023-06-01
2023,JUNIO,JALAPA,643,2023-06-01
2023,JUNIO,LA PAZ,583,2023-06-01
2023,JUNIO,MERIDA,414,2023-06-01
2023,JUNIO,MONTERREY,790,2023-06-01
2023,JUNIO,MORELIA,247,2023-06-01
2023,JUNIO,OAXACA,311,2023-06-01
2023,JUNIO,ORIZABA,366,2023-06-01
2023,JUNIO,PACHUCA,1092,2023-06-01
2023,JUNIO,PARRAL,157,2023-06-01
2023,JUNIO,POZA RICA,454,2023-06-01
2023,JUNIO,PUEBLA,1432,2023-06-01
2023,JUNIO,QUERETARO,2164,2023-06-01
2023,JUNIO,REYNOSA,225,2023-06-01
2023,JUNIO,SALTILLO,582,2023-06-01
2023,JUNIO,SAN LUIS POTOSI,157,2023-06-01
2023,JUNIO,TAMPICO,552,2023-06-01
2023,JUNIO,TEPIC,508,2023-06-01
2023,JUNIO,TIJUANA,762,2023-06-01
2023,JUNIO,TLAXCALA,289,2023-06-01
2023,JUNIO,TOLUCA,752,2023-06-01
2023,JUNIO,TORREON,1069,2023-06-01
